id,lat,lon,alt,eph,epv,fix
SIO02-3,49.43035125732422,11.08081436157227,331.66665649414062,0.600000,0.900000,2
SIO02-3,49.43034362792969,11.08085918426514,331.50000000000000,0.600000,0.900000,2
SIO02-3,49.43034362792969,11.08085918426514,331.50000000000000,0.600000,0.900000,2
SIO02-3,49.43033599853516,11.08089542388916,331.50000000000000,0.600000,0.900000,2
SIO02-3,49.43033599853516,11.08089542388916,331.50000000000000,0.600000,0.900000,2
SIO02-3,49.43033218383789,11.08092403411865,331.33331298828125,0.500000,0.900000,2
SIO02-3,49.43033218383789,11.08092403411865,331.33331298828125,0.500000,0.900000,2
SIO02-3,49.43032836914062,11.08094406127930,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08094406127930,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08095550537109,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08095550537109,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096027374268,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096027374268,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096122741699,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096122741699,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096122741699,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096122741699,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096122741699,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096122741699,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096122741699,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096122741699,331.33331298828125,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096218109131,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096218109131,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096218109131,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096218109131,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096313476562,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096313476562,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096313476562,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096313476562,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.50000000000000,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.66665649414062,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.83334350585938,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.83334350585938,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.83334350585938,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.83334350585938,0.500000,0.800000,2
SIO02-3,49.43032836914062,11.08096408843994,331.83334350585938,0.500000,0.700000,2
